"route.name","route.number","stop.id","time","n.students","location","query","lat","lng","type"
"HS 22 AM",145,2," 7:13 am",6,"91 GARDEN RD","91 GARDEN RD, Scarsdale, NY",41.0077606,-73.7733539,"RANGE_INTERPOLATED"
"HS 22 AM",145,3," 7:15 am",0,"GARDEN RD & OXFORD RD","GARDEN RD & OXFORD RD, Scarsdale, NY",41.0058038,-73.777176,"APPROXIMATE"
"HS 22 AM",145,4," 7:16 am",0,"OXFORD RD & PARK RD","OXFORD RD & PARK RD, Scarsdale, NY",41.0069255,-73.7796741,"APPROXIMATE"
"HS 22 AM",145,5," 7:18 am",8,"ETON RD & PARK RD","ETON RD & PARK RD, Scarsdale, NY",41.0092914,-73.7759533,"APPROXIMATE"
"HS 22 AM",145,6," 7:20 am",1,"ETON RD & WINDMILL LN","ETON RD & WINDMILL LN, Scarsdale, NY",41.0103944,-73.7775397,"APPROXIMATE"
"HS 22 AM",145,7," 7:21 am",7,"GREENDALE RD & WINDMILL CIR & WINDMILL LN","GREENDALE RD & WINDMILL CIR & WINDMILL LN, Scarsdale, NY",41.0119014,-73.778873,"APPROXIMATE"
"HS 22 AM",145,8," 7:23 am",6,"FAIRVIEW RD & GREENDALE RD","FAIRVIEW RD & GREENDALE RD, Scarsdale, NY",41.012773,-73.7782881,"APPROXIMATE"
"HS 22 AM",145,9," 7:24 am",10,"DICKEL RD & FAIRVIEW RD","DICKEL RD & FAIRVIEW RD, Scarsdale, NY",41.012253,-73.776544,"APPROXIMATE"
"HS 22 AM",145,10," 7:26 am",8,"6 DICKEL RD","6 DICKEL RD, Scarsdale, NY",41.0144151,-73.7789958,"RANGE_INTERPOLATED"
"HS 22 AM",145,11," 7:29 am",8,"GORHAM RD & MONTROSE RD","GORHAM RD & MONTROSE RD, Scarsdale, NY",41.0143278,-73.7806995,"APPROXIMATE"
"HS 22 AM",145,12," 7:31 am",4,"FARLEY RD & VALLEY RD","FARLEY RD & VALLEY RD, Scarsdale, NY",41.0166501,-73.7810278,"APPROXIMATE"
"HS 22 AM",145,13," 7:33 am",2,"FARLEY RD & GREENACRES AVE","FARLEY RD & GREENACRES AVE, Scarsdale, NY",41.0180071,-73.7830523,"APPROXIMATE"
"HS 22 AM",145,14," 7:40 am",-60,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 23 AM",150,2," 7:17 am",4,"KINGSTON RD & MONTROSE RD","KINGSTON RD & MONTROSE RD, Scarsdale, NY",41.0121761,-73.782046,"APPROXIMATE"
"HS 23 AM",150,3," 7:18 am",11,"BREWSTER RD & KINGSTON RD","BREWSTER RD & KINGSTON RD, Scarsdale, NY",41.0138528,-73.7843671,"APPROXIMATE"
"HS 23 AM",150,4," 7:20 am",7,"BERKELEY RD & GREENACRES AVE & KINGSTON RD","BERKELEY RD & GREENACRES AVE & KINGSTON RD, Scarsdale, NY",41.0157,-73.7857047,"APPROXIMATE"
"HS 23 AM",150,5," 7:22 am",3,"BERKELEY RD & CLAREMOND RD","BERKELEY RD & CLAREMOND RD, Scarsdale, NY",41.0160763,-73.7865508,"APPROXIMATE"
"HS 23 AM",150,6," 7:25 am",19,"CLAREMOND RD & WALWORTH AVE","CLAREMOND RD & WALWORTH AVE, Scarsdale, NY",41.0201316,-73.7844128,"APPROXIMATE"
"HS 23 AM",150,7," 7:28 am",17,"RIVER RD & WALWORTH AVE","RIVER RD & WALWORTH AVE, Scarsdale, NY",41.0165143,-73.7877403,"APPROXIMATE"
"HS 23 AM",150,8," 7:31 am",23,"BROOK LN & WALWORTH AVE","BROOK LN & WALWORTH AVE, Scarsdale, NY",41.0136037,-73.7902872,"APPROXIMATE"
"HS 23 AM",150,9," 7:40 am",-84,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 24 AM",144,2," 7:20 am",3,"SAXSON WOODS RD & THIES CT","SAXSON WOODS RD & THIES CT, Scarsdale, NY",40.9846989,-73.764387,"APPROXIMATE"
"HS 24 AM",144,3," 7:21 am",5,"CRAWFORD LN & SAXON WOODS RD","CRAWFORD LN & SAXON WOODS RD, Scarsdale, NY",40.9854191,-73.7632038,"APPROXIMATE"
"HS 24 AM",144,4," 7:23 am",1,"48 SAXON WOODS RD","48 SAXON WOODS RD, Scarsdale, NY",40.9862761,-73.7620019,"RANGE_INTERPOLATED"
"HS 24 AM",144,5," 7:23 am",2,"67 SAXON WOODS RD","67 SAXON WOODS RD, Scarsdale, NY",40.9872437,-73.7607497,"RANGE_INTERPOLATED"
"HS 24 AM",144,6," 7:25 am",2,"134 SAXON WOODS RD","134 SAXON WOODS RD, Scarsdale, NY",40.9915594,-73.7554429,"RANGE_INTERPOLATED"
"HS 24 AM",144,7," 7:26 am",1,"148 SAXON WOODS RD","148 SAXON WOODS RD, Scarsdale, NY",40.9917107,-73.7550864,"RANGE_INTERPOLATED"
"HS 24 AM",144,8," 7:27 am",1,"185 SAXON WOODS RD","185 SAXON WOODS RD, Scarsdale, NY",40.9925205,-73.7541983,"RANGE_INTERPOLATED"
"HS 24 AM",144,9," 7:28 am",18,"BLACK BIRCH LN & MAGNOLIA RD","BLACK BIRCH LN & MAGNOLIA RD, Scarsdale, NY",40.9935707,-73.7550872,"APPROXIMATE"
"HS 24 AM",144,10," 7:32 am",4,"BLACK BIRCH LN & THORNWOOD PL","BLACK BIRCH LN & THORNWOOD PL, Scarsdale, NY",40.995258,-73.7582,"APPROXIMATE"
"HS 24 AM",144,11," 7:33 am",5,"BLACK BIRCH LN & ROCK CREEK LN","BLACK BIRCH LN & ROCK CREEK LN, Scarsdale, NY",40.9962282,-73.7596272,"APPROXIMATE"
"HS 24 AM",144,12," 7:35 am",10,"CORELL RD & ROCK CREEK LN","CORELL RD & ROCK CREEK LN, Scarsdale, NY",40.9943802,-73.7610115,"APPROXIMATE"
"HS 24 AM",144,13," 7:37 am",9,"CORELL RD & WILDWOOD RD","CORELL RD & WILDWOOD RD, Scarsdale, NY",40.9950767,-73.7634924,"APPROXIMATE"
"HS 24 AM",144,14," 7:39 am",3,"VERNON RD & WILDWOOD RD","VERNON RD & WILDWOOD RD, Scarsdale, NY",40.994009,-73.764733,"APPROXIMATE"
"HS 24 AM",144,15," 7:41 am",12,"MARJORY LN & SECOR RD","MARJORY LN & SECOR RD, Scarsdale, NY",40.990251,-73.767486,"APPROXIMATE"
"HS 24 AM",144,16," 7:44 am",12,"BROOKBY RD & MAMARONECK RD & MAMARONECK RD & BROOKBY RD","BROOKBY RD & MAMARONECK RD & MAMARONECK RD & BROOKBY RD, Scarsdale, NY",40.9905164,-73.7730702,"GEOMETRIC_CENTER"
"HS 24 AM",144,17," 7:47 am",5,"BROOKBY RD & QUENTIN RD","BROOKBY RD & QUENTIN RD, Scarsdale, NY",40.99076,-73.771795,"APPROXIMATE"
"HS 24 AM",144,18," 7:51 am",-93,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 25 AM",157,2," 7:10 am",6,"GRAHAM RD & LAWRENCE RD","GRAHAM RD & LAWRENCE RD, Scarsdale, NY",40.9859326,-73.7677341,"APPROXIMATE"
"HS 25 AM",157,3," 7:12 am",8,"MYRTLEDALE RD & RIDGEDALE RD","MYRTLEDALE RD & RIDGEDALE RD, Scarsdale, NY",40.986183,-73.765415,"APPROXIMATE"
"HS 25 AM",157,4," 7:14 am",18,"BANSOM RD & SPRINGDALE RD","BANSOM RD & SPRINGDALE RD, Scarsdale, NY",40.9879932,-73.7633412,"APPROXIMATE"
"HS 25 AM",157,5," 7:18 am",5,"ASPEN RD & BANSOM RD","ASPEN RD & BANSOM RD, Scarsdale, NY",40.988689,-73.7638547,"APPROXIMATE"
"HS 25 AM",157,6," 7:19 am",5,"ASPEN RD & BENEDICT RD","ASPEN RD & BENEDICT RD, Scarsdale, NY",40.9908101,-73.7613516,"APPROXIMATE"
"HS 25 AM",157,7," 7:21 am",6,"BENEDICT RD & ROCK MEADOW LN","BENEDICT RD & ROCK MEADOW LN, Scarsdale, NY",40.9911172,-73.7589845,"APPROXIMATE"
"HS 25 AM",157,8," 7:23 am",10,"BOULDER BROOK RD & SYCAMORE RD","BOULDER BROOK RD & SYCAMORE RD, Scarsdale, NY",40.9915855,-73.7570235,"APPROXIMATE"
"HS 25 AM",157,9," 7:25 am",5,"SPIER RD & SYCAMORE RD","SPIER RD & SYCAMORE RD, Scarsdale, NY",40.9928136,-73.7598005,"APPROXIMATE"
"HS 25 AM",157,10," 7:27 am",0,"ROCK CREEK LN & SYCAMORE RD","ROCK CREEK LN & SYCAMORE RD, Scarsdale, NY",40.9928532,-73.7630101,"APPROXIMATE"
"HS 25 AM",157,11," 7:27 am",6,"ROCK CREEK LN & SYCAMORE RD","ROCK CREEK LN & SYCAMORE RD, Scarsdale, NY",40.9928532,-73.7630101,"APPROXIMATE"
"HS 25 AM",157,12," 7:29 am",2,"BENEDICT RD & ROCK CREEK LN","BENEDICT RD & ROCK CREEK LN, Scarsdale, NY",40.990709,-73.762534,"APPROXIMATE"
"HS 25 AM",157,13," 7:31 am",4,"CORALYN RD & REYNAL XING","CORALYN RD & REYNAL XING, Scarsdale, NY",40.9964893,-73.7638502,"APPROXIMATE"
"HS 25 AM",157,14," 7:33 am",4,"HAZELTON DR & NORMA PL & HAZELTON DR","HAZELTON DR & NORMA PL & HAZELTON DR, Scarsdale, NY",40.9977335,-73.7636921,"GEOMETRIC_CENTER"
"HS 25 AM",157,15," 7:39 am",-79,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 26 AM",147,2," 7:15 am",13,"HEATHCOTE RD & INNES RD","HEATHCOTE RD & INNES RD, Scarsdale, NY",40.9811928,-73.7744406,"APPROXIMATE"
"HS 26 AM",147,3," 7:18 am",12,"CARTHAGE RD & LEBANON RD","CARTHAGE RD & LEBANON RD, Scarsdale, NY",40.9810552,-73.7715328,"APPROXIMATE"
"HS 26 AM",147,4," 7:20 am",4,"CARTHAGE RD & LINCOLN RD","CARTHAGE RD & LINCOLN RD, Scarsdale, NY",40.9818323,-73.768791,"APPROXIMATE"
"HS 26 AM",147,5," 7:22 am",5,"FARRAGUT RD & LINCOLN RD","FARRAGUT RD & LINCOLN RD, Scarsdale, NY",40.983074,-73.769605,"APPROXIMATE"
"HS 26 AM",147,6," 7:24 am",4,"LINCOLN RD & VANDERBILT RD","LINCOLN RD & VANDERBILT RD, Scarsdale, NY",40.9839345,-73.7698988,"APPROXIMATE"
"HS 26 AM",147,7," 7:25 am",4,"LAWRENCE RD & LINCOLN RD","LAWRENCE RD & LINCOLN RD, Scarsdale, NY",40.985648,-73.770425,"APPROXIMATE"
"HS 26 AM",147,8," 7:26 am",2,"LINCOLN RD & PALMER AVE","LINCOLN RD & PALMER AVE, Scarsdale, NY",40.9865222,-73.7707697,"APPROXIMATE"
"HS 26 AM",147,9," 7:28 am",21,"FOXHALL RD & SECOR RD","FOXHALL RD & SECOR RD, Scarsdale, NY",40.988868,-73.7699418,"APPROXIMATE"
"HS 26 AM",147,10," 7:31 am",13,"SECOR RD & WYNMOR RD","SECOR RD & WYNMOR RD, Scarsdale, NY",40.986654,-73.7731068,"APPROXIMATE"
"HS 26 AM",147,11," 7:36 am",-78,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 27 AM",149,2," 7:09 am",3,"GATEHOUSE RD & HAVERFORD AVE","GATEHOUSE RD & HAVERFORD AVE, Scarsdale, NY",40.9715596,-73.7736704,"APPROXIMATE"
"HS 27 AM",149,3," 7:10 am",3,"9 GATEHOUSE RD","9 GATEHOUSE RD, Scarsdale, NY",40.9705157,-73.7727503,"RANGE_INTERPOLATED"
"HS 27 AM",149,4," 7:12 am",4,"GATEHOUSE RD & SWARTHMORE RD","GATEHOUSE RD & SWARTHMORE RD, Scarsdale, NY",40.9712491,-73.7691467,"APPROXIMATE"
"HS 27 AM",149,5," 7:13 am",1,"FRANKLIN RD & HAVERFORM AVE & FRANKLIN RD","FRANKLIN RD & HAVERFORM AVE & FRANKLIN RD, Scarsdale, NY",40.9752273,-73.7684982,"GEOMETRIC_CENTER"
"HS 27 AM",149,6," 7:14 am",0,"86 PENN RD","86 PENN RD, Scarsdale, NY",40.9734832,-73.7660589,"RANGE_INTERPOLATED"
"HS 27 AM",149,7," 7:15 am",0,"FRANKLIN RD & PENN BLVD & PENN RD","FRANKLIN RD & PENN BLVD & PENN RD, Scarsdale, NY",40.9735621,-73.7680428,"APPROXIMATE"
"HS 27 AM",149,8," 7:16 am",4,"29 PENN BLVD","29 PENN BLVD, Scarsdale, NY",40.9730816,-73.7719984,"RANGE_INTERPOLATED"
"HS 27 AM",149,9," 7:17 am",0,"1 PENN BOULEVARD","1 PENN BOULEVARD, Scarsdale, NY",40.9726513,-73.7739411,"RANGE_INTERPOLATED"
"HS 27 AM",149,10," 7:18 am",12,"CARTHAGE LN & STRATTON RD","CARTHAGE LN & STRATTON RD, Scarsdale, NY",40.9736151,-73.7739162,"APPROXIMATE"
"HS 27 AM",149,11," 7:21 am",12,"FRANKLIN RD & STRATTON RD","FRANKLIN RD & STRATTON RD, Scarsdale, NY",40.9749132,-73.7684097,"APPROXIMATE"
"HS 27 AM",149,12," 7:24 am",2,"HARVEST DR & RURAL DR","HARVEST DR & RURAL DR, Scarsdale, NY",40.977186,-73.7669499,"APPROXIMATE"
"HS 27 AM",149,13," 7:25 am",3,"FRANKLIN RD & HARVEST DR","FRANKLIN RD & HARVEST DR, Scarsdale, NY",40.9767203,-73.7684119,"APPROXIMATE"
"HS 27 AM",149,14," 7:27 am",2,"CROSSWAY & HARVEST DR","CROSSWAY & HARVEST DR, Scarsdale, NY",40.9780602,-73.7726966,"APPROXIMATE"
"HS 27 AM",149,15," 7:28 am",4,"CROSSWAY & LINCOLN RD","CROSSWAY & LINCOLN RD, Scarsdale, NY",40.9795753,-73.7678331,"APPROXIMATE"
"HS 27 AM",149,16," 7:34 am",-50,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 28 AM",155,2," 7:01 am",1,"1170 OLD WHITE PLAINS RD","1170 OLD WHITE PLAINS RD, Scarsdale, NY",40.9691878,-73.7498751,"RANGE_INTERPOLATED"
"HS 28 AM",155,3," 7:02 am",2,"OLD WHITE PLAINS RD & WELLHOUSE CLOSE & OLD WHITE PLAINS RD","OLD WHITE PLAINS RD & WELLHOUSE CLOSE & OLD WHITE PLAINS RD, Scarsdale, NY",40.9910251,-73.794708,"GEOMETRIC_CENTER"
"HS 28 AM",155,4," 7:03 am",1,"4 CARRIAGE HOUSE LANE","4 CARRIAGE HOUSE LANE, Scarsdale, NY",40.9688274,-73.7512081,"RANGE_INTERPOLATED"
"HS 28 AM",155,5," 7:04 am",4,"CARRIAGE HOUSE LANE & WELLHOUSE LN","CARRIAGE HOUSE LANE & WELLHOUSE LN, Scarsdale, NY",40.970057,-73.753533,"APPROXIMATE"
"HS 28 AM",155,6," 7:07 am",5,"BRITTANY CLOSE & GRIFFEN AVE","BRITTANY CLOSE & GRIFFEN AVE, Scarsdale, NY",40.9698839,-73.7569244,"APPROXIMATE"
"HS 28 AM",155,7," 7:09 am",1,"103 GRIFFEN AVENUE","103 GRIFFEN AVENUE, Scarsdale, NY",40.9640879,-73.7632509,"RANGE_INTERPOLATED"
"HS 28 AM",155,8," 7:10 am",12,"BROADMOOR RD & GRIFFEN AVE","BROADMOOR RD & GRIFFEN AVE, Scarsdale, NY",40.9625626,-73.7666146,"APPROXIMATE"
"HS 28 AM",155,9," 7:13 am",6,"GRIFFEN AVE & NORMANDY LN","GRIFFEN AVE & NORMANDY LN, Scarsdale, NY",40.9615573,-73.768573,"APPROXIMATE"
"HS 28 AM",155,10," 7:14 am",3,"GRAND PK AVE & GRIFFEN AVE","GRAND PK AVE & GRIFFEN AVE, Scarsdale, NY",40.961196,-73.769164,"APPROXIMATE"
"HS 28 AM",155,11," 7:15 am",9,"CORNELL ST & FENIMORE RD & GRAND PK AVE","CORNELL ST & FENIMORE RD & GRAND PK AVE, Scarsdale, NY",40.9597268,-73.76775,"APPROXIMATE"
"HS 28 AM",155,12," 7:18 am",2,"12 CORNELL ST","12 CORNELL ST, Scarsdale, NY",40.9571341,-73.7713749,"RANGE_INTERPOLATED"
"HS 28 AM",155,13," 7:19 am",3,"COPPER BEECH LN & WEAVER ST","COPPER BEECH LN & WEAVER ST, Scarsdale, NY",40.9610884,-73.7726071,"APPROXIMATE"
"HS 28 AM",155,14," 7:20 am",0,"WEAVER ST & WHITE BIRCH LN","WEAVER ST & WHITE BIRCH LN, Scarsdale, NY",40.9623295,-73.7728263,"APPROXIMATE"
"HS 28 AM",155,15," 7:21 am",1,"WEAVER ST & HWY 125 & CO HWY 129 & WEAVER ST & HWY 125 & CO HWY 129 & HILLANDALE DR &  HILLANDDALE DR & HILLANDALE CLOSE",NA,NA,NA,NA
"HS 28 AM",155,16," 7:22 am",10,"BRADFORD RD & WEAVER ST","BRADFORD RD & WEAVER ST, Scarsdale, NY",40.9641844,-73.7731791,"APPROXIMATE"
"HS 28 AM",155,17," 7:24 am",4,"27 OLD LYME RD","27 OLD LYME RD, Scarsdale, NY",40.9663777,-73.7721969,"RANGE_INTERPOLATED"
"HS 28 AM",155,18," 7:26 am",5,"MEADOW RD & NORMANDY LN","MEADOW RD & NORMANDY LN, Scarsdale, NY",40.965778,-73.770388,"APPROXIMATE"
"HS 28 AM",155,19," 7:27 am",0,"MEADOW RD & OLD LYME RD","MEADOW RD & OLD LYME RD, Scarsdale, NY",40.9676714,-73.767312,"APPROXIMATE"
"HS 28 AM",155,20," 7:28 am",9,"4 MEADOW RD","4 MEADOW RD, Scarsdale, NY",40.9696921,-73.7681326,"RANGE_INTERPOLATED"
"HS 28 AM",155,21," 7:31 am",2,"5 HUTCHINSON AVE","5 HUTCHINSON AVE, Scarsdale, NY",40.9692758,-73.7733048,"RANGE_INTERPOLATED"
"HS 28 AM",155,22," 7:34 am",0,"11 WEAVER STREET","11 WEAVER STREET, Scarsdale, NY",40.9827868,-73.7760038,"RANGE_INTERPOLATED"
"HS 28 AM",155,23," 7:35 am",0,"35 WEAVER STREET","35 WEAVER STREET, Scarsdale, NY",40.9800508,-73.7760803,"RANGE_INTERPOLATED"
"HS 28 AM",155,24," 7:40 am",-80,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 29 AM",148,2," 7:10 am",10,"SALEM DR & SPLIT TREE RD","SALEM DR & SPLIT TREE RD, Scarsdale, NY",40.962432,-73.76242,"APPROXIMATE"
"HS 29 AM",148,3," 7:13 am",3,"KOLBERT DR & SALEM DR","KOLBERT DR & SALEM DR, Scarsdale, NY",40.96303,-73.759667,"APPROXIMATE"
"HS 29 AM",148,4," 7:14 am",3,"5 KOLBERT DR","5 KOLBERT DR, Scarsdale, NY",40.9647425,-73.760534,"ROOFTOP"
"HS 29 AM",148,5," 7:16 am",1,"133 GRIFFEN AVENUE","133 GRIFFEN AVENUE, Scarsdale, NY",40.9652335,-73.76203,"RANGE_INTERPOLATED"
"HS 29 AM",148,6," 7:17 am",1,"217 GRIFFEN AVENUE","217 GRIFFEN AVENUE, Scarsdale, NY",40.9702502,-73.7564979,"RANGE_INTERPOLATED"
"HS 29 AM",148,7," 7:18 am",1,"267 GRIFFEN AVENUE","267 GRIFFEN AVENUE, Scarsdale, NY",40.9713489,-73.7552192,"RANGE_INTERPOLATED"
"HS 29 AM",148,8," 7:20 am",6,"DORIS LN & PRINCE WILLOW LN","DORIS LN & PRINCE WILLOW LN, Scarsdale, NY",40.9712362,-73.7500555,"APPROXIMATE"
"HS 29 AM",148,9," 7:21 am",0,"MARBOURNE DR & PRINCE WILLOW LN","MARBOURNE DR & PRINCE WILLOW LN, Scarsdale, NY",40.973544,-73.747387,"APPROXIMATE"
"HS 29 AM",148,10," 7:22 am",7,"JENNY CLOSE & MARBOURNE DR","JENNY CLOSE & MARBOURNE DR, Scarsdale, NY",40.975483,-73.748348,"APPROXIMATE"
"HS 29 AM",148,11," 7:25 am",10,"BARNWALL LN & FAIRWAY DR","BARNWALL LN & FAIRWAY DR, Scarsdale, NY",40.972859,-73.750523,"APPROXIMATE"
"HS 29 AM",148,12," 7:27 am",1,"DORIS RD & FAIRWAY DR","DORIS RD & FAIRWAY DR, Scarsdale, NY",40.9720991,-73.7512175,"APPROXIMATE"
"HS 29 AM",148,13," 7:28 am",3,"OLD WHITE PLAINS RD & STONEWALL LN","OLD WHITE PLAINS RD & STONEWALL LN, Scarsdale, NY",40.9720122,-73.7534723,"APPROXIMATE"
"HS 29 AM",148,14," 7:29 am",1,"465 MAMARONECK ROAD","465 MAMARONECK ROAD, Scarsdale, NY",40.9744424,-73.7555393,"RANGE_INTERPOLATED"
"HS 29 AM",148,15," 7:30 am",5,"BARKER LN & MAMARONECK RD","BARKER LN & MAMARONECK RD, Scarsdale, NY",40.9746115,-73.7556929,"APPROXIMATE"
"HS 29 AM",148,16," 7:32 am",5,"COLONIAL RD & MAYFLOWER RD","COLONIAL RD & MAYFLOWER RD, Scarsdale, NY",40.97554,-73.760093,"APPROXIMATE"
"HS 29 AM",148,17," 7:33 am",4,"COLONIAL RD & CONTINENTAL RD","COLONIAL RD & CONTINENTAL RD, Scarsdale, NY",40.9750723,-73.7617216,"APPROXIMATE"
"HS 29 AM",148,18," 7:35 am",6,"BLACKHAWK RD & MAYFLOWER RD","BLACKHAWK RD & MAYFLOWER RD, Scarsdale, NY",40.974292,-73.758532,"APPROXIMATE"
